Report Refresh Date,User Principal Name,Last Activity Date,Is Deleted,Deleted Date,Used Web,Used Windows Phone,Used iOS,Used Mac,Used Android Phone,Used Windows,Report Period
2021-12-21,3A778F82F6B43365F29A896AB6BC60F7,,False,,No,No,No,No,No,No,180
2021-12-21,62DD8A3AE8C4DD2D4E01F8C2D0CADAD9,,False,,No,No,No,No,No,No,180
2021-12-21,361B1F6123834E2043C0DCF9C68D2FE8,,False,,No,No,No,No,No,No,180
2021-12-21,BEF4450583E50ADCF8DE41BD31B54D21,,False,,No,No,No,No,No,No,180
2021-12-21,637482802F49104A3C79521EF9FDCFB6,,False,,No,No,No,No,No,No,180
2021-12-21,0419AA6DD0EB24D318C31E6CFF6A3726,,False,,No,No,No,No,No,No,180
2021-12-21,D35C24A7D0EF9FFD0CFAB0BD87E50FE2,,False,,No,No,No,No,No,No,180
2021-12-21,678FB2406F00B5928016F072B7F738DA,,False,,No,No,No,No,No,No,180
2021-12-21,D043B29BD4044876B7C12CFB21DCF806,,False,,No,No,No,No,No,No,180
2021-12-21,52E226B17BB630E7C084ECD4F551D7BC,,False,,No,No,No,No,No,No,180
2021-12-21,77CDF1C0347CF459D78CA7F7F85B5DA5,,False,,No,No,No,No,No,No,180
2021-12-21,1E23F79E3D159ED896D74E7244657CAC,,False,,No,No,No,No,No,No,180
2021-12-21,2A26CCA51BA506DBB5C15C9589343955,,False,,No,No,No,No,No,No,180
2021-12-21,F4D38F40D0D3ACC7B5D127A68574E30C,,False,,No,No,No,No,No,No,180
2021-12-21,3211545CC7FDCBF6B880B325F9EBCD17,,False,,No,No,No,No,No,No,180
2021-12-21,7B301983EAA3D7671018E745B08EB382,,False,,No,No,No,No,No,No,180
2021-12-21,C583EE60D4811EEDBD626430E8307903,,False,,No,No,No,No,No,No,180
